Movie Name,Storyline,Processed_Storyline
1. The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",fade celebr take blackmarket drug cellrepl substanc help creat younger better version
2. The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",lifeaffirm genrebend stori three chapter life ordinari man name charl krantz
3. Cellar Door,"Looking for a fresh start after a miscarriage, a couple find themselves being gifted the house of their dreams with one caveat - they can never open the cellar door. Whether they can live without knowing triggers shocking consequences.",look fresh start miscarriag coupl find gift hous dream one caveat never open cellar door whether live without know trigger shock consequ
4. Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",tech billionair slater king meet cocktail waitress frida fundrais gala invit join friend dream vacat privat island strang thing start happen frida question realiti
5. Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",base factual account group outsid settl remot island discov greatest threat isnt brutal climat deadli wildlif
6. We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",catastroph militari disast dead dont rise hunt ava search miss husband find far terrifi
7. Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,father teen daughter attend pop concert realiz theyv enter center dark sinist event
8. Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",paul atreid unit fremen warpath reveng conspir destroy famili face choic love life fate univers endeavor prevent terribl futur
9. Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",young stripper brooklyn meet impuls marri son russian oligarch news reach russia fairi tale threaten parent set new york get marriag annul
10. Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",coupl vacat seclud estat upend theyr forc share mansion mysteri coupl dream getaway spiral nightmarish maze sex lie manipul trigger battl surviv
